Iteration	access_egress_pt_travel	access_egress_pt_wait	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	ride_school_bus_travel	ride_school_bus_wait	ride_taxi_travel	ride_taxi_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
73	140.2686111111111	0.0	1043.6155555555556	0.0	11309.589722222223	0.0	272.3519444444444	0.0	690.8602777777778	505.82944444444445	3867.8866666666668	0.0	107.89611111111111	0.0	161.23416666666665	0.0	0.0	0.0	14932.423611111111	0.0
74	141.04861111111111	0.0	999.5047222222222	0.0	11505.818333333333	0.0	272.79083333333335	0.0	719.7586111111111	438.3252777777778	3857.101388888889	0.0	106.91333333333333	0.0	162.73194444444445	0.0	0.0	0.0	14847.778055555556	0.0
75	136.70277777777778	0.0	1023.4372222222222	0.0	11304.245277777778	0.0	273.0863888888889	0.0	675.7580555555555	488.6933333333333	3893.8919444444446	0.0	107.75472222222223	0.0	176.23555555555555	0.0	0.0	0.0	14869.789444444445	0.0
76	117.51583333333333	0.0	914.0027777777777	0.0	11305.509444444444	0.0	273.1388888888889	0.0	651.7311111111111	453.51222222222225	3912.2727777777777	0.0	107.89888888888889	0.0	169.855	0.0	0.0	0.0	14755.483055555556	0.0
77	123.05111111111111	0.0	949.0055555555556	0.0	11270.355833333333	0.0	274.1458333333333	0.0	616.9488888888889	420.29833333333335	3931.201666666667	0.0	108.77	0.0	174.47305555555556	0.0	0.0	0.0	14837.608888888888	0.0
78	132.41416666666666	0.0	1009.1444444444444	0.0	11258.16138888889	0.0	274.38444444444445	0.0	634.8388888888888	433.13916666666665	3932.992222222222	0.0	108.47888888888889	0.0	169.3863888888889	0.0	0.0	0.0	14804.842222222222	0.0
79	132.855	0.0	957.1191666666666	0.0	11293.399444444445	0.0	274.8052777777778	0.0	667.9841666666666	426.0877777777778	3953.735277777778	0.0	109.28666666666666	0.0	157.17472222222221	0.0	0.0	0.0	14502.493333333334	0.0
80	133.89527777777778	0.0	1017.4666666666667	0.0	11285.511944444444	0.0	276.0105555555556	0.0	663.2627777777777	447.75944444444445	3906.5775	0.0	109.02888888888889	0.0	182.4086111111111	0.0	0.0	0.0	14764.698888888888	0.0
81	142.11416666666668	0.0	992.8527777777778	0.0	11249.298333333334	0.0	273.9816666666667	0.0	660.2405555555556	450.7775	3944.766111111111	0.0	109.08833333333334	0.0	170.66611111111112	0.0	0.0	0.0	14781.550555555556	0.0
82	128.62944444444443	0.0	924.6213888888889	0.0	11287.058333333332	0.0	273.6897222222222	0.0	636.6638888888889	425.37944444444446	3949.1266666666666	0.0	108.71083333333333	0.0	161.9936111111111	0.0	0.0	0.0	14652.740555555556	0.0
83	140.18916666666667	0.0	966.8505555555555	0.0	11298.53388888889	0.0	271.2811111111111	0.0	648.8672222222223	428.99055555555555	3933.621111111111	0.0	108.2825	0.0	153.65166666666667	0.0	0.0	0.0	14686.693333333333	0.0
84	140.91	0.0	913.5813888888889	0.0	11284.202777777778	0.0	272.09194444444444	0.0	660.5977777777778	401.22222222222223	3943.9808333333335	0.0	108.09861111111111	0.0	152.49972222222223	0.0	0.0	0.0	14649.213333333333	0.0
85	131.95805555555555	0.0	925.1113888888889	0.0	11296.563333333334	0.0	273.68	0.0	627.5816666666667	378.71	3934.47	0.0	108.98972222222223	0.0	163.1197222222222	0.0	0.0	0.0	14807.33861111111	0.0
86	154.42	0.0	970.1325	0.0	11275.111111111111	0.0	272.1986111111111	0.0	661.3697222222222	426.57055555555553	3935.8016666666667	0.0	109.4025	0.0	146.93666666666667	0.0	0.0	0.0	14684.983888888888	0.0
87	122.10527777777777	0.0	993.7633333333333	0.0	11295.588055555556	0.0	272.7452777777778	0.0	612.3338888888889	386.24055555555555	3931.7947222222224	0.0	109.34027777777777	0.0	155.6013888888889	0.0	0.0	0.0	14656.299722222222	0.0
88	136.75416666666666	0.0	914.1655555555556	0.0	11289.663333333334	0.0	273.09583333333336	0.0	601.1216666666667	438.9822222222222	3936.431111111111	0.0	109.99444444444444	0.0	141.42833333333334	0.0	0.0	0.0	14878.400833333333	0.0
89	115.20333333333333	0.0	941.4169444444444	0.0	12561.8975	0.0	271.79277777777776	0.0	580.8183333333334	377.0316666666667	3715.0280555555555	0.0	99.03833333333333	0.0	116.31555555555556	0.0	0.0	0.0	14590.091666666667	0.0
90	136.39555555555555	0.0	913.6722222222222	0.0	11350.753333333334	0.0	277.11861111111114	0.0	624.9433333333334	420.7033333333333	3880.5369444444445	0.0	102.90583333333333	0.0	154.87055555555557	0.0	0.0	0.0	14636.275	0.0
91	147.93722222222223	0.0	953.0458333333333	0.0	11327.080555555556	0.0	274.1797222222222	0.0	629.4908333333333	392.1933333333333	3873.496111111111	0.0	104.43083333333334	0.0	161.32722222222222	0.0	0.0	0.0	14454.871388888889	0.0
92	148.9713888888889	0.0	1009.3211111111111	0.0	11289.258055555556	0.0	272.01694444444445	0.0	643.8619444444445	398.8283333333333	3869.5155555555557	0.0	103.64694444444444	0.0	168.56194444444444	0.0	0.0	0.0	14676.780555555555	0.0
93	125.79805555555555	0.0	882.2925	0.0	11280.51638888889	0.0	272.43944444444446	0.0	598.2477777777777	358.6486111111111	3932.989722222222	0.0	104.95583333333333	0.0	149.0475	0.0	0.0	0.0	14733.999722222223	0.0
94	130.45527777777778	0.0	938.9216666666666	0.0	11312.972222222223	0.0	271.0511111111111	0.0	598.1675	435.5180555555556	3922.1827777777776	0.0	104.25722222222223	0.0	136.19361111111112	0.0	0.0	0.0	14526.966944444444	0.0
95	107.96277777777777	0.0	1029.9547222222222	0.0	11266.230555555556	0.0	271.45222222222225	0.0	585.5419444444444	362.6972222222222	3931.6052777777777	0.0	105.32305555555556	0.0	150.69444444444446	0.0	0.0	0.0	14631.950277777778	0.0
96	109.31027777777778	0.0	981.3091666666667	0.0	11268.947222222223	0.0	278.4172222222222	0.0	590.5177777777777	353.97	3944.3997222222224	0.0	105.65555555555555	0.0	168.31	0.0	0.0	0.0	14281.923055555555	0.0
97	108.12944444444445	0.0	896.3786111111111	0.0	11291.5725	0.0	272.0961111111111	0.0	562.6780555555556	342.1536111111111	3964.2838888888887	0.0	106.36277777777778	0.0	148.61638888888888	0.0	0.0	0.0	14360.171944444444	0.0
98	116.235	0.0	914.6291666666667	0.0	11246.26638888889	0.0	273.5413888888889	0.0	585.9908333333333	379.90222222222224	3957.9880555555555	0.0	107.90444444444445	0.0	159.25416666666666	0.0	0.0	0.0	14531.562222222223	0.0
99	115.70833333333333	0.0	996.5197222222222	0.0	12260.952222222222	0.0	276.26972222222224	0.0	567.4691666666666	353.35805555555555	3792.3541666666665	0.0	102.89916666666667	0.0	116.465	0.0	0.0	0.0	14560.267777777777	0.0
100	95.94638888888889	0.0	908.7225	0.0	11307.465	0.0	275.99	0.0	561.5586111111111	334.0711111111111	3888.016666666667	0.0	104.09388888888888	0.0	148.0872222222222	0.0	0.0	0.0	14489.78388888889	0.0
101	124.48138888888889	0.0	938.1075	0.0	11270.905277777778	0.0	276.2002777777778	0.0	589.9161111111111	341.2211111111111	3925.2161111111113	0.0	105.15583333333333	0.0	148.4561111111111	0.0	0.0	0.0	14360.159722222223	0.0
102	104.12444444444445	0.0	1006.7302777777778	0.0	11266.313055555556	0.0	275.8908333333333	0.0	564.8558333333333	325.97277777777776	3947.9397222222224	0.0	105.68527777777778	0.0	139.13055555555556	0.0	0.0	0.0	14301.240277777777	0.0
103	130.88305555555556	0.0	975.1675	0.0	11248.478055555555	0.0	272.4819444444444	0.0	579.7708333333334	358.1461111111111	3960.565	0.0	104.68972222222222	0.0	146.6338888888889	0.0	0.0	0.0	14317.476666666667	0.0
104	128.4802777777778	0.0	928.2188888888888	0.0	11280.188333333334	0.0	273.2297222222222	0.0	582.5952777777778	414.4375	3941.429722222222	0.0	105.6675	0.0	136.34555555555556	0.0	0.0	0.0	14435.073333333334	0.0
105	112.74055555555556	0.0	1000.5588888888889	0.0	11244.991944444444	0.0	270.6802777777778	0.0	566.3480555555556	359.01416666666665	3944.9480555555556	0.0	105.96138888888889	0.0	157.25583333333333	0.0	0.0	0.0	14358.047222222222	0.0
106	115.87472222222222	0.0	994.3636111111111	0.0	11266.920833333334	0.0	271.74916666666667	0.0	540.0002777777778	332.47777777777776	3938.353611111111	0.0	106.64472222222223	0.0	153.7125	0.0	0.0	0.0	14350.884444444444	0.0
107	110.75277777777778	0.0	940.1897222222223	0.0	11229.932777777778	0.0	270.6327777777778	0.0	547.5297222222222	339.3702777777778	3970.199722222222	0.0	106.67444444444445	0.0	155.82916666666668	0.0	0.0	0.0	14475.060277777779	0.0
108	116.97833333333334	0.0	883.5094444444444	0.0	12230.034166666666	0.0	270.0283333333333	0.0	555.0358333333334	356.67055555555555	3804.3258333333333	0.0	99.99805555555555	0.0	121.58638888888889	0.0	0.0	0.0	14416.031666666666	0.0
109	115.50527777777778	0.0	921.4552777777777	0.0	11312.303333333333	0.0	272.33472222222224	0.0	558.0019444444445	370.40555555555557	3903.2116666666666	0.0	103.30916666666667	0.0	134.87722222222223	0.0	0.0	0.0	14380.56361111111	0.0
110	116.76444444444445	0.0	966.3402777777778	0.0	11283.823888888888	0.0	271.92861111111114	0.0	560.5544444444445	349.84055555555557	3919.8455555555556	0.0	103.36972222222222	0.0	141.84472222222223	0.0	0.0	0.0	14304.959444444445	0.0
